main_artist,id,name,popularity,genres
Michael Jackson,4FRnFYyWy6yzCXQySCsOfb,The Jacksons,55,"['disco', 'motown']"
The Jacksons,0rKnxuiIepvjtMmrYYV2VA,Prince,68,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']"
The Jackson 5,5xO4f5QyPMYnCPRyRveBSD,Wham!,69,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
Jermaine Jackson,4xOk8sG1KBfhKhR4BOq7Mc,Janet Jackson,62,"['dance pop', 'r&b', 'urban contemporary']"
Commodores,0uMy5ZKVPBHauBYTTfCojq,George Michael,70,['new wave pop']
Kool & The Gang,2wh5Qu35PjDbJBqAv65RGa,Kool & The Gang,64,"['disco', 'funk', 'motown', 'soft rock', 'soul']"
Smokey Robinson,71aKjsWKYqASAffyIQaocZ,The Jackson 5,64,"['motown', 'soul']"
Diana Ross,3REpOYo13YkVj1dFzda12A,Madonna,77,"['dance pop', 'pop']"
The Pointer Sisters,2EURsXo9qlt1aMWlviGCRi,Queen,81,"['classic rock', 'glam rock', 'rock']"
Sister Sledge,6OQrOpxSIfPai3cFaN4v4P,Whitney Houston,73,['pop']
Gladys Knight & The Pips,6is2U7I1jlI8PjxNZOHIMV,Stevie Wonder,73,"['motown', 'soul']"
The Emotions,1L56apXminRPJqnqBN0vhe,Elton John,80,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
Janet Jackson,5uFqO7FceiE84xjEjFtQLX,Tina Turner,67,['soft rock']
The Supremes,4R2ZUCVWjJs5ef9pjnCVC4,Lionel Richie,67,"['disco', 'soft rock']"
KC & The Sunshine Band,3S78Gzhp1D01i1x2KGXrnh,"Earth, Wind & Fire",70,"['disco', 'funk', 'jazz funk', 'soul']"
Rick James,3O7IxMv6D9iFICSUa5w9X4,Aerosmith,73,"['album rock', 'classic rock', 'hard rock', 'rock']"
Shalamar,135Rv69sEKYSUfBBaI7i3M,The Beatles,82,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
Chaka Khan,5jNGQ7VOU87x5402JjhTtd,Bon Jovi,75,"['glam metal', 'rock']"
The O'Jays,702AvACMk5mieXIYlC2Gxx,Justin Timberlake,78,"['dance pop', 'pop']"
Smokey Robinson & The Miracles,4kEAjV4pCBOkoowYYQydvO,Elvis Presley,75,"['rock-and-roll', 'rockabilly']"
DeBarge,0TF2NxkJZPQoX1H53rEFM1,The Jackson 5,64,"['motown', 'soul']"
The Spinners,0h9smro0z3HqUbD94jotU8,Jermaine Jackson,45,['disco']
Prince,5fbhwqYYh4YwUoEs582mq5,Commodores,62,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
Chaka Khan,38h03gA85YYPeDPd9ER9rT,Kool & The Gang,64,"['disco', 'funk', 'motown', 'soft rock', 'soul']"
Rick James,2O0Hw1WSMbskB5tD9aWah3,Smokey Robinson,51,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
The Time,7BFr36uI1dzJyo6tpa5Ued,Diana Ross,63,"['adult standards', 'disco', 'motown', 'quiet storm', 'soft rock', 'soul']"
Stevie Wonder,3mQBpAOMWYqAZyxtyeo4Lo,The Pointer Sisters,59,"['disco', 'girl group', 'hi-nrg', 'motown', 'new wave pop', 'soft rock']"
Janet Jackson,3VNITwohbvU5Wuy5PC6dsI,Sister Sledge,55,"['disco', 'funk', 'philly soul', 'quiet storm', 'soul']"
Kool & The Gang,6TKOZZDd5uV5KnyC5G4MUt,Gladys Knight & The Pips,55,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
The Gap Band,1DpIDwg8FGD50N9Tfunfsf,The Emotions,59,"['chicago soul', 'classic soul', 'disco', 'funk', 'girl group', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul']"
Marvin Gaye,1OxJzMLmR9l5zPLap9OxuO,Janet Jackson,62,"['dance pop', 'r&b', 'urban contemporary']"
Wham!,7fIvjotigTGWqjIz6EP1i4,The Supremes,61,"['classic girl group', 'classic soul', 'disco', 'motown', 'soul']"
George Michael,64CuUOOirKmdAYLQSfaOyr,KC & The Sunshine Band,62,"['disco', 'mellow gold', 'new wave pop', 'soft rock', 'soul']"
Sly & The Family Stone,4TwHRCIu3Xg9fjS3l7owkp,Rick James,58,"['disco', 'funk', 'motown', 'p funk', 'quiet storm', 'soul', 'synth funk']"
The Jacksons,2EURsXo9qlt1aMWlviGCRi,Shalamar,49,"['classic soul', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Culture Club,6gkWznnJkdkwRPVcmnrays,Chaka Khan,60,"['disco', 'funk', 'neo soul', 'quiet storm', 'soul']"
Eurythmics,53QzNeFpzAaXYnrDBbDrIp,The O'Jays,55,"['classic soul', 'disco', 'funk', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
Sananda Maitreya,2YdVmtVBpIrv0N6WiBzSqm,Smokey Robinson & The Miracles,54,"['classic soul', 'motown', 'quiet storm', 'soul']"
Commodores,438JBZR1AR0l04AzcYW9gy,DeBarge,53,"['contemporary r&b', 'funk', 'quiet storm', 'urban contemporary']"
"Earth, Wind & Fire",3MdG05syQeRYPPcClLaUGl,The Spinners,58,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
Daryl Hall & John Oates,3mQBpAOMWYqAZyxtyeo4Lo,The Jacksons,55,"['disco', 'motown']"
Cameo,6twIAGnYuIT1pncMAsXnEm,Diana Ross,63,"['adult standards', 'disco', 'motown', 'quiet storm', 'soft rock', 'soul']"
The Isley Brothers,6gkWznnJkdkwRPVcmnrays,The Supremes,61,"['classic girl group', 'classic soul', 'disco', 'motown', 'soul']"
Wham!,4TwHRCIu3Xg9fjS3l7owkp,The Temptations,64,"['memphis soul', 'motown', 'soul']"
Culture Club,0Xf8oDAJYd2D0k3NLI19OV,Four Tops,61,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul']"
Bananarama,0FrpdcVlJQqibaz5HfBUrL,KC & The Sunshine Band,62,"['disco', 'mellow gold', 'new wave pop', 'soft rock', 'soul']"
Spandau Ballet,2kreKea2n96dXjcyAU9j5N,Smokey Robinson & The Miracles,54,"['classic soul', 'motown', 'quiet storm', 'soul']"
Boy George,3REpOYo13YkVj1dFzda12A,Commodores,62,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
George Michael,4QQgXkCYTt3BlENzhyNETg,Smokey Robinson,51,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
Rick Astley,6mQfAAqZGBzIfrmlZCeaYT,Gladys Knight & The Pips,55,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
