main_artist,id,name,popularity,genres,relations
Kanye West,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,81,"east coast hip hop, gangster rap, hip hop, pop rap, rap",3
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,81,"east coast hip hop, gangster rap, hip hop, pop rap, rap",2
JAY-Z,20qISvAhX20dpIbOOzGK3q,Nas,71,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",1
JAY-Z,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,69,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",1
JAY-Z,4OBJLual30L7gRl5UkeRcT,T.I.,71,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",1
JAY-Z,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,75,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap",1
JAY-Z,59wfkuBoNyhDMQGCljbUbA,Diddy,71,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, rap, trap",1
JAY-Z,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,74,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",1
JAY-Z,55Aa2cqylxrFIXC767Z865,Lil Wayne,83,"hip hop, new orleans rap, pop rap, rap, trap",1
JAY-Z,3ipn9JLAPI5GUEo4y4jcoi,Ludacris,73,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap",1
JAY-Z,1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,69,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap",1
JAY-Z,3ScY9CQxNLQei8Umvpx5g6,Fat Joe,65,"bronx hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, trap",1
JAY-Z,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,88,"chicago rap, hip hop, rap",1
JAY-Z,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,63,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop",1
JAY-Z,1G9G7WwrXka3Z1r7aIDjI7,Outkast,72,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",1
JAY-Z,0NbfKEOTQCcwd6o7wSDOHI,The Game,69,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",1
JAY-Z,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,77,"hip hop, ohio hip hop, pop rap, rap",1
JAY-Z,6O2zJ0tId7g07yzHtX0yap,Mobb Deep,64,"east coast hip hop, hardcore hip hop, hip hop, queens hip hop",1
JAY-Z,17lzZA2AlOHwCwFALHttmp,2 Chainz,73,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap",1
JAY-Z,5pnbUBPifNnlusY8kTBivi,Jadakiss,62,"battle rap, east coast hip hop, trap",1
JAY-Z,0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,62,"conscious hip hop, east coast hip hop, hip hop",1
JAY-Z,0YWxKQj2Go9CGHCp77UOyy,Fabolous,63,"gangster rap, hip hop, pop rap, rap, trap, urban contemporary",1
JAY-Z,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,77,"hip hop, ohio hip hop, pop rap, rap",2
Kid Cudi,20qISvAhX20dpIbOOzGK3q,Nas,71,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",1
Kid Cudi,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,69,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",1
Kid Cudi,4OBJLual30L7gRl5UkeRcT,T.I.,71,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",1
Kid Cudi,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,75,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap",1
Kid Cudi,59wfkuBoNyhDMQGCljbUbA,Diddy,71,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, rap, trap",1
Kid Cudi,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,74,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",1
Kid Cudi,55Aa2cqylxrFIXC767Z865,Lil Wayne,83,"hip hop, new orleans rap, pop rap, rap, trap",1
Kid Cudi,3ipn9JLAPI5GUEo4y4jcoi,Ludacris,73,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap",1
Kid Cudi,1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,69,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap",1
Kid Cudi,3ScY9CQxNLQei8Umvpx5g6,Fat Joe,65,"bronx hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, trap",1
Kid Cudi,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,88,"chicago rap, hip hop, rap",1
Kid Cudi,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,63,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop",1
Kid Cudi,1G9G7WwrXka3Z1r7aIDjI7,Outkast,72,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",1
Kid Cudi,0NbfKEOTQCcwd6o7wSDOHI,The Game,69,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",1
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,77,"hip hop, ohio hip hop, pop rap, rap",1
Kid Cudi,6O2zJ0tId7g07yzHtX0yap,Mobb Deep,64,"east coast hip hop, hardcore hip hop, hip hop, queens hip hop",1
Kid Cudi,17lzZA2AlOHwCwFALHttmp,2 Chainz,73,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap",1
Kid Cudi,5pnbUBPifNnlusY8kTBivi,Jadakiss,62,"battle rap, east coast hip hop, trap",1
Kid Cudi,0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,62,"conscious hip hop, east coast hip hop, hip hop",1
Kid Cudi,0YWxKQj2Go9CGHCp77UOyy,Fabolous,63,"gangster rap, hip hop, pop rap, rap, trap, urban contemporary",1
JAY-Z,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,86,"conscious hip hop, hip hop, rap, west coast rap",2
Kendrick Lamar,20qISvAhX20dpIbOOzGK3q,Nas,71,"conscious hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, queens hip hop, rap",1
Kendrick Lamar,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,69,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",1
