main_artist,id,name,popularity,genres
Kanye West,6DPYiyq5kWVQS4RGwxzPC7,JAY-Z,81,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
JAY-Z,3Mcii5XWf6E0lrY3Uky4cA,Kid Cudi,77,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Kid Cudi,1Oa0bMld0A3u5OTYfMzp5h,Kendrick Lamar,86,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Kendrick Lamar,7B4hKK0S9QYnaoqa9OuwgX,A$AP Rocky,79,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
A$AP Rocky,4EnEZVjo3w1cwcQYePccay,Baby Keem,75,"['hip hop', 'rap']"
Baby Keem,5me0Irg2ANcsgc93uaYrpb,"Tyler, The Creator",82,"['hip hop', 'rap']"
"Tyler, The Creator",1YfEcTuGvBQ8xSD1f53UnK,Frank Ocean,81,"['lgbtq+ hip hop', 'neo soul']"
Frank Ocean,3q7HBObVc0L8jNeTe5Gofh,Playboi Carti,82,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
Playboi Carti,1ZwdS5xdxEREPySFridCfh,J. Cole,84,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
J. Cole,1HwM5zlC5qNWhJtM00yXzG,Childish Gambino,76,"['atl hip hop', 'hip hop', 'rap']"
Childish Gambino,2B4ZHz4QDWJTXPFPgO5peE,21 Savage,87,"['atl hip hop', 'hip hop', 'rap']"
21 Savage,4tujQJicOnuZRLiBFdp3Ou,Metro Boomin,85,['rap']
Metro Boomin,3ipn9JLAPI5GUEo4y4jcoi,Joey Bada$$,70,"['conscious hip hop', 'hip hop', 'rap']"
Joey Bada$$,4VmEWwd8y9MCLwexFMdpwt,Future,87,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Future,0NbfKEOTQCcwd6o7wSDOHI,Travis Scott,90,"['hip hop', 'rap', 'slap house']"
Travis Scott,137W8MRPWKqSmrBGDBFSop,Mac Miller,80,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Mac Miller,20qISvAhX20dpIbOOzGK3q,Lil Uzi Vert,83,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
Lil Uzi Vert,34EP7KEpOjXcM2TCat1ISk,Chance the Rapper,70,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Chance the Rapper,6O2zJ0tId7g07yzHtX0yap,Lil Wayne,83,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Lil Wayne,3nFkdlSjzX9mRTtwJOzDYB,Young Thug,81,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
Young Thug,1Oa0bMld0A3u5OTYfMzp5h,Nas,71,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
JAY-Z,6NyJIFHAePjHR1pFxwisqz,Pusha T,69,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
Nas,60CFNa0ggWjV8OSDey8aGT,T.I.,71,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Pusha T,3USpNaxpX1iNqNnQWqg9ob,Rick Ross,74,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']"
T.I.,4sb7rZNN93BSS6Gqgepo4v,Diddy,71,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']"
Rick Ross,0b2XeWDPeBiLeskT6RFqMb,The Notorious B.I.G.,74,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Diddy,3z3g65U7mmyyBmmDfsQK9x,Lil Wayne,83,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
The Notorious B.I.G.,3zNM2tRfTX6LI1lN2PlrTt,Ludacris,73,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Lil Wayne,51FyBBOW464toW099BsW8z,Busta Rhymes,68,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
Ludacris,4Otx4bRLSfpah5kX8hdgDC,Fat Joe,65,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Busta Rhymes,5spEJXLwD1sKUdC2bnOHPg,Kanye West,88,"['chicago rap', 'hip hop', 'rap']"
Fat Joe,4tujQJicOnuZRLiBFdp3Ou,Lupe Fiasco,63,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
Kanye West,5Jz9kKRnCRLTodCH58MyB4,Outkast,72,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
Lupe Fiasco,3NgwMzys77S7sgfh2W5k0V,The Game,69,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Outkast,0eGh2jSWPBX5GuqIHoZJZG,Kid Cudi,77,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
The Game,7zICaxnDB9ZprDSiFpvbbW,Mobb Deep,64,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']"
Kid Cudi,1P8IfcNKwrkQP5xJWuhaOC,2 Chainz,73,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Mobb Deep,4pmNqFu71wEmFXSsYAiWK8,Jadakiss,62,"['battle rap', 'east coast hip hop', 'trap']"
2 Chainz,7xTKLpo7UCzXSnlH7fOIoM,Mos Def,61,"['conscious hip hop', 'east coast hip hop', 'hip hop']"
Jadakiss,19KwjzvIL92r29IINtlPNP,Fabolous,63,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']"
