main_artist,id,name,popularity,genres
Kanye West,30fiiwr2EeZp1tAhzYCmyM,JAY-Z,81,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
JAY-Z,3PyWEKLWI0vHPmoNrIX0QE,Kid Cudi,77,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Nas,7xTKLpo7UCzXSnlH7fOIoM,Kendrick Lamar,86,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Mobb Deep,2yQf6b8hxahZaT5dHlWaB1,A$AP Rocky,79,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
Mos Def,2Xu7q46Hf02xOoEIm4E1Qs,Baby Keem,75,"['hip hop', 'rap']"
Rakim,6FD0unjzGQhX3b6eMccMJe,"Tyler, The Creator",82,"['hip hop', 'rap']"
Big L,6ns6XAOsw4B0nDUIovAOUO,Frank Ocean,81,"['lgbtq+ hip hop', 'neo soul']"
Wu-Tang Clan,50NoVNy9GU1lCrDV8iGpyu,Playboi Carti,82,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
Gang Starr,4VmEWwd8y9MCLwexFMdpwt,J. Cole,84,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
Ghostface Killah,6KVPfr3ujUkKOrJf4QeRWD,Childish Gambino,76,"['atl hip hop', 'hip hop', 'rap']"
Method Man,4iCwCMnqsNZ6atvRiADgtn,21 Savage,87,"['atl hip hop', 'hip hop', 'rap']"
Common,5cMgGlA1xGyeAB2ctYlRdZ,Metro Boomin,85,['rap']
Redman,1BH45DVSTeGBvcYXNCd67g,Joey Bada$$,70,"['conscious hip hop', 'hip hop', 'rap']"
Raekwon,10Khz9BDdDT2mzm3330Cvu,Future,87,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Big Pun,7HqrSDuI9lHuH1CDismTFg,Travis Scott,90,"['hip hop', 'rap', 'slap house']"
GZA,2gINJ8xw86xawPyGvx1bla,Mac Miller,80,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
A Tribe Called Quest,0Mz5XE0kb1GBnbLQm2VbcO,Lil Uzi Vert,83,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
Talib Kweli,4OBbOrkD4geIjOLrICN3wO,Chance the Rapper,70,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Ol' Dirty Bastard,6jHG1YQkqgojdEzerwvrVv,Lil Wayne,83,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
AZ,099tLNCZZvtjC7myKD0mFp,Young Thug,81,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
Pusha T,67ei8ib6PLT1w3OkhIb4fB,Nas,71,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
